Company Name,Domain,Website,City,Country,Founded Year,Revenue,Employee Growth (6mo),LinkedIn URL
375ai,375.ai,http://www.375.ai,London,United Kingdom,2022,N/A,-0.1176470588235294,http://www.linkedin.com/company/375-ai
3DEC,3dec.co.uk,http://www.3dec.co.uk,London,United Kingdom,2011,N/A,0.0,http://www.linkedin.com/company/3dec-ltd
Accelex,accelex.ai,http://www.accelex.ai,London,United Kingdom,2018,3M,-0.3125,http://www.linkedin.com/company/accelextech
Accountancy Cloud,accountancycloud.com,http://www.accountancycloud.com,London,United Kingdom,2014,N/A,0.0,http://www.linkedin.com/company/accountancycloud
Acre,acresoftware.com,http://www.acresoftware.com,London,United Kingdom,2018,2M,0.0,http://www.linkedin.com/company/acresoftware
Adapt (a Datapipe company),adapt.com,http://www.adapt.com,London,United Kingdom,2001,55.9M,0.0,http://www.linkedin.com/company/adapt
Adclear,adclear.ai,http://www.adclear.ai,London,United Kingdom,2024,N/A,N/A,http://www.linkedin.com/company/adclear-ai
AG Grid,ag-grid.com,http://www.ag-grid.com,London,United Kingdom,2015,1M,0.0,http://www.linkedin.com/company/ag-grid
Agio Ratings,agioratings.io,http://www.agioratings.io,London,United Kingdom,2022,N/A,0.0,http://www.linkedin.com/company/agio-ratings
Ahauz,ahauz.com,http://www.ahauz.com,London,United Kingdom,2019,5M,0.0,http://www.linkedin.com/company/ahauz
Aibuild,ai-build.com,http://www.ai-build.com,London,United Kingdom,2015,1M,0.0,http://www.linkedin.com/company/ai-build
ai.io,ai.io,http://www.ai.io,London,United Kingdom,N/A,N/A,0.1875,http://www.linkedin.com/company/ai-io
Aibly,aibly.io,http://www.aibly.io,London,United Kingdom,2024,N/A,0.0,http://www.linkedin.com/company/aibly
AI Score,aiscore.ai,http://www.aiscore.ai,London,United Kingdom,N/A,N/A,N/A,http://www.linkedin.com/company/ai-score-ai
Aisthesis Medical,aisthesismed.com,http://www.aisthesismed.com,London,United Kingdom,2022,N/A,N/A,http://www.linkedin.com/company/aisthesis-medical
Artificial Intelligence Venture Builder,aivb.ai,http://www.aivb.ai,London,United Kingdom,2024,N/A,0.0,http://www.linkedin.com/company/aivb
Allica Bank,allica.bank,http://www.allica.bank,London,United Kingdom,2019,368M,0.1063829787234043,http://www.linkedin.com/company/allicabank
Allocation Strategy,allocation-strategy.com,http://www.allocation-strategy.com,London,United Kingdom,2024,N/A,N/A,http://www.linkedin.com/company/allocation-strategy
All Things,allthingsbutter.co.uk,http://www.allthingsbutter.co.uk,London,United Kingdom,N/A,500K,0.0,http://www.linkedin.com/company/all-things-dairy
Allye,allye.com,http://www.allye.com,London,United Kingdom,2023,N/A,0.0,http://www.linkedin.com/company/allye-energy
Alt21,alt21.com,http://www.alt21.com,London,United Kingdom,2016,15M,0.25,http://www.linkedin.com/company/alt21
Alvie Health,alviehealth.com,http://www.alviehealth.com,London,United Kingdom,2019,N/A,0.0,http://www.linkedin.com/company/alviehealth
